Aceh Tamiang, Kab.
Gayo Luwes, Kab.
Aceh Barat Daya, Kab.
Aceh Jaya, Kab.
Nagan Raya, Kab.
Aceh Simeuleu, Kab.
Prov. NAD, Kab./Kota Lainnya.
Banda Aceh, Kota.
Sabang, Kota.
Lhokseumawe, Kota.
Langsa, Kota.
Simeulue, Kota.
Provinsi Sumatera Utara
Singkawang, Kota.
Provinsi Kalimantan Timur
Kutai Kartanegara, Kab.
Berau, Kab.
Pasir, Kab.
Bulungan, Kab.
Kutai Barat, Kab.
Kutai Timur, Kab.
Bulungan Selatan, Kab.
Bulungan Utara, Kab.
Nunukan, Kab.
Malinau, Kab.
Penajam Paser Utara, Kab.
Prov. Kal-Tim, Kab./Kota Lainnya.
Samarinda, Kota.
Balikpapan, Kota.
Tarakan, Kota.
Bontang, Kota.
Provinsi Kalimantan Tengah
Kapuas, Kab.
Kotawaringin Barat, Kab.
Kotawaringin Timur, Kab.
Murung Raya, Kab.
Barito Timur, Kab.
Barito Selatan, Kab.
Gunung Mas, Kab.
Barito Utara, Kab.
Pulang Pisau, Kab.
Seruyan, Kab.
Katingan, Kab.
Sukamara, Kab.
Lamandau, Kab.
Prov. Kal-Teng, Kab./Kota Lainnya.
Palangkaraya, Kota.
Provinsi Sulawesi Tengah
Donggala, Kab.
Poso, Kab.
Parimo/Banggai, Kab.
Toli-Toli, Kab.
Kab.Banggai Kepulauan
Morowali, Kab.
Buol, Kab.
Prov. Sulawesi Tengah, Kab./Kota Lainnya.
Palu, Kota.
Propinsi Jawa Barat
Bekasi, Kab.
Purwakarta, Kab.
Karawang, Kab.
Bogor, Kab.
Sukabumi, Kab.
Cianjur, Kab.
Bandung, Kab.
Sumedang, Kab.
Tasikmalaya, Kab.
Garut, Kab.
Ciamis, Kab.
Cirebon, Kab.
Kuningan, Kab.
Indramayu, Kab.
Majalengka, Kab.
Subang, Kab.
Banjar, Kota.
Prov. Jawa Barat, Kab./Kota Lainnya.
Bandung, Kota.
Bogor, Kota.
Sukabumi, Kota.
Cirebon, Kota.
Tasikmalaya, Kota.
Cimahi, Kota.
Depok, Kota.
Bekasi, Kota.
Provinsi Banten
Lebak, Kab.
Pandeglang, Kab.
Serang, Kab.
Tangerang, Kab.
Prov. Banten, Kab./Kota Lainnya.
Cilegon, Kota.
Tangerang, Kota.
DKI Jaya
Jakarta Pusat, Wil. Kota
Jakarta Utara ., Wil. Kota
Jakarta Barat, Wil. Kota
Jakarta Selatan, Wil. Kota
Jakarta Timur, Wil. Kota
D.I Yogyakarta
Bantul, Kab.
Sleman, Kab.
Gunung Kidul, Kab.
Kulon Progo, Kab.
Deli Serdang, Kab.
Langkat, Kab.
Karo, Kab.
Simalungun, Kab.
Labuhan Batu, Kab.
Asahan, Kab.
Dairi, Kab.
Tapanuli Utara, Kab.
Tapanuli Tengah, Kab.
Tapanuli Selatan, Kab.
Nias, Kab.
Rantau Prapat, Kota.
Toba Samosir, Kab.
Mandailing Natal, Kab.
Prov. Sumatera Utara, Kab./Kota Lainnya.
Tebing Tinggi, Kota.
Binjai, Kota.
Pematang Siantar, Kota.
Tanjung Balai, Kota.
Sibolga, Kota.
Medan, Kota.
Kisaran, Kota.
Padang Sidempuan, Kota.
Provinsi Sumatera Barat
Agam, Kab.
Pasaman, Kab.
Limapuluh Koto, Kab.
Solok, Kab.
Padang Pariaman, Kab.
Pesisir Selatan, Kab.
Tanah Datar, Kab.
Sawahlunto/Sijunjung, Kab.
Kepulauan Mentawai, Kab.
Prov. Sumatera Barat, Kab./Kota Lainnya.
Bukittinggi, Kota.
Padang, Kota.
Sawahlunto, Kota.
Padang Panjang, Kota.
Solok, Kota.
Payakumbuh, Kota.
Pariaman, Kota.
Provinsi Riau
Kampar, Kab.
Bengkalis, Kab.
Magetan, Kab.
Ponorogo, Kab.
Kepulauan Riau, Kab.
Indragiri Hulu, Kab.
Indragiri Hilir, Kab.
Karimun, Kab.
Natuna, Kab.
Rokan Hulu, Kab.
Rokan Hilir, Kab.
Pelalawan, Kab.
DI Yogyakarta, Kab./Kota Lainnya.
Yogyakarta, Kota.
Prov. Jawa Tengah
Semarang, Kab.
Kendal, Kab.
Demak, Kab.
Grobogan, Kab.
Pekalongan, Kab.
Tegal, Kab.
Brebes, Kab.
Pati, Kab.
Kudus, Kab.
Pemalang, Kab.
Jepara, Kab.
Rembang, Kab.
Blora, Kab.
Banyumas, Kab.
Cilacap, Kab.
Purbalingga, Kab.
Banjarnegara, Kab.
Magelang, Kab.
Temanggung, Kab.
Wonosobo, Kab.
Purworejo, Kab.
Kebumen, Kab.
Klaten, Kab.
Boyolali, Kab.
Sragen, Kab.
Sukoharjo, Kab.
Karanganyar, Kab.
Wonogiri, Kab.
Batang, Kab.
Prov. Jawa Tengah, Kab./Kota Lainnya.
Semarang, Kota.
Salatiga, Kota.
Pekalongan, Kota.
Tegal, Kota.
Magelang, Kota.
Surakarta, Kota.
Kotif Klaten
Kotif Cilacap
Kotif Purwokerto
Prov. Jawa Timur
Gresik, Kab.
Sidoarjo, Kab.
Mojokerto, Kab.
Jombang, Kab.
Sampang, Kab.
Pamekasan, Kab.
Sumenep, Kab.
Bangkalan, Kab.
Bondowoso, Kab.
Banyuwangi, Kab.
Jember, Kab.
Malang, Kab.
Pasuruan, Kab.
Probolinggo, Kab.
Lumajang, Kab.
Kediri, Kab.
Nganjuk, Kab.
Tulungagung, Kab.
Trenggalek, Kab.
Blitar, Kab.
Madiun, Kab.
Ngawi, Kab.
Pacitan, Kab.
Bojonegoro, Kab.
